Крымская война,1853,1853-1856
Первая мировая война,1914,1914-1917
Великая Отечественная Война,1941,1941-1945
Афганская война,1979,1979-1989
Первая чеченская война,1994,1994-1996
Вторая чеченская война,1999,1999-2000
